Task,Completed
Study Python,1
Exercise,1
Assignment,1
Read Data Science Article,1
Practice SQL,1
Revise Statistics,1
Work on Project,1
Watch Python Tutorial,1
Solve Coding Problems,1
Update Resume,1
Practice Excel,1
Learn Pandas,1
Revise Machine Learning,1
Prepare Presentation,1
Study Linear Regression,1
Practice Power BI,1
Write Blog,1
Read Tech News,1
Portfolio Update,1
Study Algorithms,1
Revise SQL Joins,1
Mock Interview,1
Practice Matplotlib,1
Read Research Paper,0
Study Statistics,1
Project Documentation,1
Practice Coding,1
Learn Git,1
Build Mini Project,1
Plan Weekly Tasks,1
vs code,1
vs ,1
